Price,Zip,My university,Distance to the university (in miles),Address,Bathrooms,Bedrooms,LivingArea,Latitude,Longitude,DetailURL
1525,78652,UT Austin,12.14,"827 Camino Vaquero Pkwy, Austin, TX",1,1,,30.123463,-97.804634,zillow.com/b/view-at-estancia-austin-tx-CCCv7q/
1145,78741,UT Austin,3.73,"1700 Willow Creek Dr, Austin, TX",1,1,,30.235699,-97.72755,zillow.com/apartments/austin-tx/the-sondery/9LSPXN/
1295,78741,UT Austin,3.91,"2101 Burton Dr, Austin, TX",1,1,,30.232567,-97.73197,zillow.com/apartments/austin-tx/array/5Xht6V/
1365,78723,UT Austin,2.81,"City View at Mueller, 1106 Reinli St, Austin, TX 78723",1,1,668,30.317232,-97.70241,zillow.com/apartments/austin-tx/city-view-at-mueller/9LRg8J/
1064,78753,UT Austin,10.12,"1501 E Howard Ln, Austin, TX",1,1,,30.425362,-97.67432,zillow.com/apartments/austin-tx/bridge-at-harris-ridge/BKhm4Q/
1466,78753,UT Austin,10.12,"1501 W Howard Ln, Austin, TX",1,1,,30.425362,-97.67432,zillow.com/b/the-kelsey-at-scofield-farms-austin-tx-CCYKJB/
1755,78758,UT Austin,6.71,"10300 Metropolitan Dr, Austin, TX",1,1,,30.384886,-97.717834,zillow.com/b/the-bond-austin-tx-9LTFhc/
1932,78702,UT Austin,1.27,"1109 N Interstate Highway 35, Austin, TX",1,1,,30.271206,-97.73153,zillow.com/apartments/austin-tx/avenir/9mzgyw/
1314,78745,UT Austin,5.44,"122 Sheraton Ave, Austin, TX",1,1,,30.215004,-97.76748,zillow.com/apartments/austin-tx/prospect/CCBVCd/
1535,78741,UT Austin,4.23,"4404 E Oltorf St, Austin, TX",1,1,,30.22863,-97.72476,zillow.com/apartments/austin-tx/oltera-in-soeast/5Xht5R/
1214,78744,UT Austin,7.22,"4506 E William Cannon Dr, Austin, TX",1,1,,30.185814,-97.754616,zillow.com/b/bridges-at-canyon-view-austin-tx-65bVvZ/
1125,78753,UT Austin,5.38,"8926 N Lamar Blvd, Austin, TX",1,1,,30.360119,-97.699776,zillow.com/apartments/austin-tx/aubry-hills-apartments/5XhsxZ/
1550,78744,UT Austin,7.4,"7733 Burleson Rd, Austin, TX",1,1,,30.187958,-97.69547,zillow.com/apartments/austin-tx/citizen-house-bergstrom/BsX3t6/
1345,78747,UT Austin,11.37,"2213 Cascades Ave, Austin, TX",1,1,,30.133038,-97.79727,zillow.com/apartments/austin-tx/cascades-at-onion-creek/CJ2nfr/
2119,78723,UT Austin,2.33,"1414 E 51st St, Austin, TX",1,1,,30.306755,-97.703255,zillow.com/apartments/austin-tx/solomon/9T5bqM/
1201,78729,UT Austin,12.65,"10015 Lake Creek Pkwy, Austin, TX",1,1,,30.466927,-97.78658,zillow.com/apartments/austin-tx/legends-lake-creek/5Xht8q/
1872,78702,UT Austin,2.14,"2025 E 7th St, Austin, TX",1,1,,30.26159,-97.719826,zillow.com/apartments/austin-tx/7east/65Z4VV/
